file,offset,valid_instructions_count,arch
1.exe,89259,1432,32
1.exe,12779,5393,32
1.exe,549481,14687,32
1.exe,33262,55,32
1.exe,55936,501,32
1.exe,472693,1890,32
1.exe,68752,277,32
1.exe,514886,48679,32
1.exe,272738,5184,32
1.exe,481814,283,32
1.exe,142297,6470,32
1.exe,227824,280,32
1.exe,148154,3542,32
1.exe,352095,11,32
1.exe,501377,5029,32
1.exe,445893,3176,32
1.exe,94873,51952,32
1.exe,548285,15858,32
1.exe,253878,8400,32
1.exe,206869,4501,32
1.exe,223858,1674,32
1.exe,59841,2536,32
1.exe,380508,58,32
1.exe,197185,1088,32
1.exe,468400,3222,32
1.exe,137874,9764,32
1.exe,305756,16,32
1.exe,218480,514,32
1.exe,326067,24,32
1.exe,497066,9269,32
1.exe,505750,758,32
1.exe,151607,1815,32
1.exe,170176,13644,32
1.exe,413931,119,32
1.exe,563311,4674,32
1.exe,464563,837,32
1.exe,362657,35,32
1.exe,35006,595,32
1.exe,564292,4184,32
1.exe,496012,10299,32
1.exe,561099,5780,32
1.exe,34235,1245,32
1.exe,272524,5291,32
1.exe,266978,8492,32
1.exe,489161,3638,32
1.exe,411295,48,32
1.exe,508536,54840,32
1.exe,405057,12,32
1.exe,106115,41012,32
1.exe,60418,2085,32
1.exe,344672,88,32
1.exe,140697,7270,32
1.exe,166274,15799,32
1.exe,178810,9055,32
1.exe,567225,2717,32
1.exe,517024,46598,32
1.exe,485784,368,32
1.exe,155775,23,32
1.exe,458423,5951,32
1.exe,235018,17191,32
1.exe,185043,6107,32
1.exe,459433,5114,32
1.exe,287940,10,32
1.exe,151855,1691,32
1.exe,252894,8979,32
1.exe,457985,6326,32
1.exe,379341,69,32
1.exe,392088,80,32
1.exe,18653,3082,32
1.exe,160799,18880,32
1.exe,124917,22537,32
1.exe,172121,12607,32
1.exe,268204,7451,32
1.exe,437910,377,32
1.exe,338835,98,32
1.exe,394865,26,32
1.exe,468933,2759,32
1.exe,419407,57,32
1.exe,389799,50,32
1.exe,145100,5069,32
1.exe,28513,4733,32
1.exe,532170,31806,32
1.exe,539864,24189,32
1.exe,135720,11888,32
1.exe,534271,29729,32
1.exe,377093,5,32
1.exe,203531,376,32
1.exe,18129,3293,32
1.exe,337916,11,32
1.exe,16723,3914,32
1.exe,6585,796,32
1.exe,244337,13208,32
1.exe,208916,3856,32
1.exe,450482,871,32
1.exe,464233,1113,32
1.exe,213246,2317,32
1.exe,351609,22,32
1.exe,527239,36642,32
1.exe,115298,32055,32
1.exe,178436,9244,32
1.exe,27828,27,32
1.exe,257943,6068,32
1.exe,554072,10177,32
1.exe,550447,13745,32
1.exe,203949,233,32
1.exe,119118,28283,32
1.exe,328932,32,32
1.exe,485098,1003,32
1.exe,307004,31,32
1.exe,384902,5,32
1.exe,138594,9055,32
1.exe,382962,3,32
1.exe,115611,31744,32
1.exe,445585,3483,32
1.exe,150724,2257,32
